FID,LandUse,Location,D1HOURMAX,D24HOURMEAN,D8HOURMAX,D8HOURMEAN,Lat,Long,y_coord_pr,x_coord_pr
117,COMMERCIAL,SUBURBAN,55.67,27.8,48.43,47.71,35.503601,-119.272003,-75.232597,-1293.189941
118,AGRICULTURAL,RURAL,58.57,31.01,51.59,50.72,36.233299,-119.764999,-19.550199,-1307.040039
119,RESIDENTIAL,SUBURBAN,53.43,28.75,46.7,45.43,36.314399,-119.643997,-15.8823,-1299.069946
120,MOBILE,SUBURBAN,41.66,26.78,35.55,34.46,39.031398,-122.921997,213.242996,-1419.770019
121,RESIDENTIAL,SUBURBAN,52.44,23.99,41.55,40.29,34.136501,-117.924003,-185.330001,-1242.22998
122,RESIDENTIAL,SUBURBAN,55.63,27.77,45.18,43.75,34.144298,-117.849998,-185.804992,-1238.010009
123,MOBILE,URBAN,47.16,25.14,40.04,39.01,34.051101,-118.456001,-183.699996,-1273.22998
124,COMMERCIAL,URBAN,51.01,22.07,41.28,40.39,34.175998,-118.317001,-177.283004,-1263.410034
125,RESIDENTIAL,URBAN,43.99,18.97,35.13,34.15,34.0666,-118.226997,-185.852005,-1260.21997
126,COMMERCIAL,SUBURBAN,56.88,28.81,48.24,47.36,34.199199,-118.532997,-172.731002,-1274.96997
127,COMMERCIAL,URBAN,38.22,19.75,30.61,29.8,33.929,-118.210998,-195.279006,-1261.609985
128,COMMERCIAL,SUBURBAN,46.34,20.09,36.38,35.81,34.011901,-118.069999,-191.669006,-1252.400024
129,COMMERCIAL,SUBURBAN,53.86,22.86,42.73,41.92,34.067001,-117.750999,-192.322998,-1233.770019
130,RESIDENTIAL,URBAN,50.49,21.9,40.76,39.86,34.132598,-118.126998,-182.809997,-1253.589965
131,RESIDENTIAL,SUBURBAN,38.85,21.09,31.57,29.97,33.823799,-118.189002,-202.615005,-1262.160034
132,RESIDENTIAL,SUBURBAN,48.56,29.62,42.73,41.31,33.950801,-118.43,-190.766998,-1273.46997
133,COMMERCIAL,SUBURBAN,59.3,29.84,50.86,50.04,34.383399,-118.527999,-160.481002,-1271.630004
134,COMMERCIAL,URBAN,58.47,37.46,51.59,50.39,34.671398,-118.130996,-146.712997,-1244.849975
135,AGRICULTURAL,RURAL,49.79,25.96,43.57,42.34,36.866699,-120.010002,26.141799,-1308.829956
136,COMMERCIAL,URBAN,33.21,19.49,27.78,26.53,37.972499,-122.518997,137.033996,-1420.030029
137,FOREST,RURAL,60.44,51.73,57.35,54.12,37.713298,-119.704002,78.202796,-1277.520019
138,FOREST,RURAL,60.7,51.65,57.2,54.22,37.549999,-119.844001,69.283897,-1287.790039
139,FOREST,RURAL,60.6,40.55,54.97,53.05,37.837501,-119.449996,82.947303,-1261.95996
140,FOREST,RURAL,51.99,33.06,47.02,45.94,37.747798,-119.592002,78.932998,-1271
141,MOBILE,SUBURBAN,38.58,21.79,32.87,31.52,39.150001,-123.199996,225.404998,-1431.569946
142,MOBILE,SUBURBAN,31.82,18.47,27.03,25.17,39.403099,-123.348999,244.434997,-1434.040039
143,AGRICULTURAL,RURAL,52.48,28.04,45.56,43.95,37.2817,-120.433998,59.869998,-1323.800048
144,RESIDENTIAL,SUBURBAN,39.98,26.43,36.04,35.36,36.4958,-121.731002,27.1347,-1407.319946
145,RESIDENTIAL,URBAN,40.24,23.01,34.77,34.3,36.219398,-120.779998,-5.625579,-1361.790039
146,RESIDENTIAL,URBAN,38.7,25.78,34.74,33.88,36.6968,-121.636001,38.996498,-1398.449951
147,COMMERCIAL,URBAN,38.52,21.56,32.81,32.02,38.310798,-122.294998,155.934997,-1401.73999
148,RESIDENTIAL,SUBURBAN,58.91,48.02,54.32,48.47,39.234401,-121.055999,198.647994,-1320.109985
149,FOREST,RURAL,62.61,51.98,58.1,52.69,39.316699,-120.844001,201.067001,-1307.73999
150,RESIDENTIAL,URBAN,47.94,30.06,41.67,39.99,39.3386,-120.169998,192.990005,-1272.70996
151,RESIDENTIAL,SUBURBAN,47.69,26.15,40.6,39.82,33.8306,-117.938003,-205.606994,-1248.060058
152,RESIDENTIAL,SUBURBAN,46.05,28.7,40.11,39.25,33.674598,-117.926002,-216.223007,-1249.910034
153,RESIDENTIAL,SUBURBAN,51.84,30.76,44.59,43.52,33.630001,-117.676002,-222.615005,-1236.660034
154,RESIDENTIAL,SUBURBAN,47.76,23.55,39.22,38.55,33.925098,-117.953002,-199.087005,-1247.300048
155,MOBILE,SUBURBAN,47.46,32.77,41.95,39.89,38.937801,-121.103996,179.652999,-1328.160034
156,RESIDENTIAL,SUBURBAN,51.27,32.13,45.16,43.81,39.100299,-120.953002,188.251998,-1317.339965
157,MOBILE,SUBURBAN,48.34,27,41.02,40.04,38.7458,-121.264999,169.274993,-1340.099975
158,DESERT,RURAL,55.1,46.96,51.74,49.47,33.7411,-115.820999,-239.238006,-1130.910034
159,COMMERCIAL,SUBURBAN,62.62,38.43,56.12,54.94,33.920898,-116.858001,-213.972,-1186.310058
160,DESERT,RURAL,63.26,50.65,58.82,57.15,33.939701,-115.411003,-230.888,-1105
161,AGRICULTURAL,RURAL,54.53,32.28,46.13,42.39,33.561199,-116.152999,-247.171997,-1152.310058
162,UNKNOWN,RURAL,58.18,34.49,50.27,49.13,33.708499,-116.214996,-236.485,-1153.560058
163,RESIDENTIAL,SUBURBAN,62.2,41.41,55.15,53.28,33.852699,-116.541,-222.645004,-1169.609985
164,COMMERCIAL,URBAN,63.94,31.71,53.97,53.26,33.789398,-117.227996,-217.942001,-1209.020019
165,RESIDENTIAL,SUBURBAN,59.82,28.24,50.17,49.34,33.999599,-117.416,-201.347,-1216.180053
166,RESIDENTIAL,SUBURBAN,61.34,32.87,53.17,52.51,33.676498,-117.331001,-224.139999,-1216.599975
167,RESIDENTIAL,SUBURBAN,45.44,25.9,40.38,39.75,33.612098,-114.600997,-262.611999,-1064.099975
168,RESIDENTIAL,SUBURBAN,48.92,28.27,41.69,39.96,38.712799,-121.379997,168.772003,-1346.650024
169,RESIDENTIAL,SUBURBAN,49.38,25.3,41.56,40.46,38.6142,-121.366996,162.039001,-1347.849975
170,RESIDENTIAL,URBAN,44.22,22.86,36.8,35.8,38.5583,-121.491996,160.188995,-1355.380004
171,AGRICULTURAL,RURAL,49.37,26.02,41.83,41.16,38.301898,-121.421997,142.151992,-1356.630004
172,RESIDENTIAL,SUBURBAN,53.41,32.6,46.52,45.14,38.683898,-121.163002,163.660995,-1335.95996
173,COMMERCIAL,SUBURBAN,46.79,23.88,39.11,38.37,38.636901,-121.513,165.718002,-1354.98999
174,AGRICULTURAL,RURAL,58.35,33.79,51.17,50.01,38.4944,-121.209999,151.781997,-1341.96997
175,RESIDENTIAL,RURAL,43.32,26.87,38.01,37.29,36.8442,-121.361,44.570499,-1381.050048
176,FOREST,RURAL,52.83,33.01,48,46.97,36.485298,-121.155998,17.6587,-1376.880004
177,COMMERCIAL,URBAN,55.94,32.14,49.46,48.57,34.895,-117.024002,-146.444,-1180.199951
178,RESIDENTIAL,RURAL,68.58,45.9,60.88,57.25,34.243099,-117.272003,-186.925994,-1204.290039
179,COMMERCIAL,RURAL,59.33,45.45,53.65,51.72,34.426101,-117.563003,-170.798004,-1217.48999
180,RESIDENTIAL,SUBURBAN,55.99,33.4,49.48,47.95,34.509998,-117.331001,-168.261001,-1203.270019
181,DESERT,RURAL,75.72,62.52,68.94,63.28,35.101898,-115.777,-148.179992,-1108.270019
182,RESIDENTIAL,URBAN,58.51,26.23,47.56,46.47,34.103698,-117.628997,-191.513,-1226.369995
183,DESERT,RURAL,53.95,39.8,48.69,47.05,35.7639,-117.396003,-83.322898,-1186.800048
184,INDUSTRIAL,SUBURBAN,59.49,26.34,48.65,47.36,34.099998,-117.491996,-193.600006,-1218.800048
185,RESIDENTIAL,SUBURBAN,60.73,39.76,54.46,52.35,34.418098,-117.285003,-175.029998,-1202.189941
186,RESIDENTIAL,SUBURBAN,62.08,31.55,51.84,50.17,34.059799,-117.147003,-200.869995,-1200.25
187,DESERT,RURAL,68.32,56.24,62.99,60.14,34.071399,-116.390998,-209.873001,-1157.849975
188,COMMERCIAL,SUBURBAN,60.22,25.84,49.27,48.22,34.106899,-117.274002,-196.037994,-1206.560058
189,RESIDENTIAL,SUBURBAN,52.74,34.41,47.11,46.1,32.631198,-117.058998,-297.867004,-1217.859985
190,COMMERCIAL,SUBURBAN,52.08,28.01,43.95,43.45,32.791198,-116.942001,-288.690002,-1208.699951
191,COMMERCIAL,SUBURBAN,49.27,30.72,43.16,42.19,32.836498,-117.128997,-283.170013,-1218.569946
192,UNKNOWN,UNKNOWN,49.73,35.42,44.57,42.87,32.952098,-117.263999,-273.604003,-1224.390014
193,COMMERCIAL,URBAN,51.14,27.15,43.81,42.97,33.1277,-117.074996,-264.346008,-1210.949951
194,RESIDENTIAL,SUBURBAN,62.28,42.34,54.66,53.46,32.8423,-116.767997,-287.553009,-1198.050048
195,RESIDENTIAL,SUBURBAN,48.49,31.92,43.55,41.91,33.216999,-117.396003,-254.067993,-1227.609985
196,COMMERCIAL,URBAN,44.68,27.29,38.47,37.12,32.701499,-117.150001,-291.941986,-1221.890014
197,MOBILE,RURAL,44.53,23.99,36.67,35.44,32.5522,-116.938003,-304.786987,-1212.20996
198,INDUSTRIAL,URBAN,31.4,20.41,26.56,24.93,37.765998,-122.399002,121.527999,-1417.880004
199,RESIDENTIAL,URBAN,44.6,21.53,36.55,35.65,37.950801,-121.267997,116.564002,-1355.20996
200,RESIDENTIAL,SUBURBAN,48.93,30.14,42.15,40.62,37.682498,-121.441001,101.352996,-1369.349975
201,RESIDENTIAL,SUBURBAN,48.81,29.05,42.69,41.84,35.631698,-120.690002,-46.016799,-1367.770019
202,COMMERCIAL,URBAN,40.98,28.7,37.63,36.63,35.256599,-120.668998,-71.25,-1373.540039
203,COMMERCIAL,URBAN,39.93,29.2,36.58,35.63,35.368301,-120.793998,-61.943599,-1378.260009
204,RESIDENTIAL,RURAL,41.98,29.56,38.66,38.03,35.028301,-120.387001,-90.645599,-1362.390014
205,COMMERCIAL,SUBURBAN,47.86,25.76,41.64,40.88,35.491401,-120.667999,-55.665298,-1369.170043
206,AGRICULTURAL,RURAL,56.16,45.25,52.15,50.39,35.644199,-120.230003,-52.0209,-1342.670043
207,AGRICULTURAL,RURAL,55.55,35.78,50.84,50.05,35.220001,-120.04,-83.039497,-1340.010009
208,INDUSTRIAL,SUBURBAN,33.83,18.98,28.85,27.73,37.482898,-122.203002,99.772201,-1413.189941
209,UNKNOWN,RURAL,45.53,30.5,40.42,39.66,34.4622,-120.024002,-133.701995,-1352.760009
210,RESIDENTIAL,URBAN,46.71,28.72,40.7,39.91,34.427799,-119.690002,-140.919998,-1334.97998
211,COMMERCIAL,URBAN,34.34,22.91,30.73,29.86,34.949199,-120.436996,-95.168899,-1366.530029
212,AGRICULTURAL,RURAL,43.13,33.6,39.76,38.79,34.725601,-120.428001,-110.166999,-1370.130004
213,AGRICULTURAL,RURAL,51.9,33.13,46.59,45.86,34.5414,-119.791,-131.882995,-1338.47998
214,AGRICULTURAL,RURAL,38.51,26.85,34.3,33.31,34.5275,-120.195999,-126.814002,-1360.98999
215,AGRICULTURAL,RURAL,49.55,32.03,43.73,43.05,34.402801,-119.457,-145.977005,-1322.589965
216,AGRICULTURAL,RURAL,55.19,44.65,50.57,48.98,34.4897,-120.045997,-131.554992,-1353.439941
217,COMMERCIAL,URBAN,40.82,28.28,37.2,36.11,34.6375,-120.456001,-115.589996,-1373.300048
218,RESIDENTIAL,SUBURBAN,44.69,26.77,39.18,38.51,34.445301,-119.828002,-137.735992,-1342.23999
219,AGRICULTURAL,RURAL,43.59,26.58,38.44,37.6,34.602798,-120.070999,-123.661003,-1352.780029
220,AGRICULTURAL,RURAL,44.39,37.57,41.72,40.39,34.596099,-120.629997,-115.711997,-1383.589965
221,RESIDENTIAL,SUBURBAN,47,24.65,39.64,39.07,37,-121.573997,58.140201,-1389.390014
222,COMMERCIAL,URBAN,38.07,19.91,31.47,30.61,37.348499,-121.894996,86.123497,-1399.599975
223,RESIDENTIAL,URBAN,38.79,21,32.39,31.48,37.226898,-121.978996,79.3638,-1406.359985
224,RESIDENTIAL,RURAL,47.6,25,40.34,39.72,37.079399,-121.598999,63.780998,-1389.180053
225,RESIDENTIAL,URBAN,36.41,20.27,30.89,30.11,37.3553,-122.051002,88.978599,-1407.699951
226,RESIDENTIAL,RURAL,35.33,25.43,32.19,31.32,37.011901,-122.193,68.468902,-1421.859985
227,COMMERCIAL,SUBURBAN,37.53,22.6,32.68,31.82,36.9333,-121.795997,57.1124,-1402.380004
228,COMMERCIAL,URBAN,40.33,21.99,35.13,33.98,37.0522,-122.012001,68.3246,-1411.530029
229,COMMERCIAL,SUBURBAN,37.18,20.17,32.09,31.22,36.984001,-121.987998,63.435501,-1411.579956
230,COMMERCIAL,SUBURBAN,46.25,27.14,40.52,39.2,40.549701,-122.378997,305.27301,-1362.069946
231,INDUSTRIAL,SUBURBAN,46.64,24.62,41.05,39.88,40.453098,-122.297996,297.665008,-1359.880004
232,FOREST,RURAL,52.48,42.42,48.67,46.8,40.536899,-121.572998,292.558013,-1321.770019
233,COMMERCIAL,SUBURBAN,42.22,23.04,36.49,35.35,41.728298,-122.634002,386.992004,-1351.45996
234,COMMERCIAL,URBAN,36.8,22.62,31.67,30.56,38.102699,-122.237998,141.300994,-1402.890014
235,AGRICULTURAL,RURAL,41.66,26.73,36.22,35.71,38.226898,-122.075996,147.033004,-1392.030029
236,RESIDENTIAL,SUBURBAN,42.76,28.53,36.99,35.87,38.065601,-122.151,137.501998,-1399.060058
237,COMMERCIAL,SUBURBAN,44.83,26.44,39.01,38.12,38.358398,-121.949996,153.817001,-1382.949951
238,COMMERCIAL,URBAN,33.71,19.16,28.27,27.14,38.4435,-122.709999,171.126998,-1420.609985
239,COMMERCIAL,RURAL,40.8,26.6,36.17,34.9,38.6567,-122.898002,188.139007,-1426.060058
240,COMMERCIAL,URBAN,46.48,24.84,39.06,37.71,37.6417,-120.994003,91.989501,-1346.660034
241,RESIDENTIAL,SUBURBAN,45.68,23.25,38.53,37.09,37.4883,-120.835998,79.482101,-1341.21997
242,COMMERCIAL,SUBURBAN,45.18,25.67,38.95,37.54,39.1389,-121.617996,200.537002,-1350.770019
243,AGRICULTURAL,RURAL,60.11,44.95,53.67,47.77,39.286399,-121.879997,214.207992,-1361.380004
244,FOREST,RURAL,60.85,48.69,56.21,53.14,40.262199,-122.093002,281.988006,-1353.280029
245,MOBILE,URBAN,48.54,28.34,43.39,42.32,40.170799,-122.257003,278.385009,-1363.349975
246,FOREST,RURAL,59.45,46.79,54.55,52.36,36.567199,-118.777999,-11.101099,-1248.21997
247,FOREST,RURAL,63.81,46.95,58.22,57.21,36.4892,-118.827003,-15.645799,-1252.170043
248,COMMERCIAL,URBAN,54.91,27.05,46.71,45.59,36.332199,-119.29,-19.6921,-1279.770019
249,RESIDENTIAL,URBAN,53.31,34.92,48.45,47.29,37.9817,-120.378997,105.634002,-1308.140014
250,RESIDENTIAL,SUBURBAN,53.05,30.89,47.55,46.74,34.209999,-118.869003,-167.272003,-1293.439941
251,AGRICULTURAL,RURAL,53.2,29.03,47.09,46.61,34.404598,-118.809997,-155.117004,-1286.829956
252,RESIDENTIAL,SUBURBAN,54.66,28.59,49.07,48.56,34.448299,-119.230003,-146.218002,-1309.270019
253,RESIDENTIAL,SUBURBAN,57.85,33,51.37,50.46,34.2775,-118.684997,-165.371994,-1282.069946
254,RESIDENTIAL,SUBURBAN,46.08,26.95,40.96,40.16,34.280399,-119.314002,-156.218002,-1316.790039
255,RESIDENTIAL,RURAL,45.53,25.9,40,39.24,34.255001,-119.142997,-160.375,-1307.780029
256,AGRICULTURAL,RURAL,46.12,23.91,39.04,38.39,38.533298,-121.775001,162.761993,-1370.510009
257,RESIDENTIAL,SUBURBAN,50.49,26.22,43.13,42.23,38.661899,-121.727996,170.574005,-1365.589965
258,AGRICULTURAL,RURAL,49.65,25.22,42.12,40.43,39.838199,-104.949996,81.033401,-472.680999
259,RESIDENTIAL,SUBURBAN,50.82,34.33,45.02,43.22,39.568,-104.957,62.519001,-474.891998
260,AGRICULTURAL,SUBURBAN,54.22,37.29,48.16,45.92,39.957199,-105.237998,90.722503,-487.044006
261,RESIDENTIAL,SUBURBAN,48.81,24.85,40.88,39.02,39.7518,-105.030998,75.522499,-477.524993
262,AGRICULTURAL,RURAL,53.78,36.09,47.73,46.16,39.5345,-105.069999,60.8138,-481.105987
263,FOREST,RURAL,51.04,31.4,45.8,44.36,38.958301,-104.817001,19.9361,-471.557006
264,COMMERCIAL,SUBURBAN,54.6,40.37,49.33,46.79,38.853099,-104.901,13.149299,-476.747985
265,RESIDENTIAL,SUBURBAN,50.73,26.75,42.84,41.02,39.800399,-105.099998,79.221199,-480.846984
266,RESIDENTIAL,SUBURBAN,53.41,35.52,45.98,43.58,39.638801,-105.138999,68.338996,-484.040008
267,INDUSTRIAL,RURAL,56.83,42.19,51.16,48.46,39.912799,-105.189002,87.412399,-484.729003
268,COMMERCIAL,SUBURBAN,53.85,37.27,47.27,43.97,39.743698,-105.178001,75.746101,-485.346008
269,RESIDENTIAL,RURAL,42.41,25.93,37.72,36.71,37.136699,-107.627998,-87.847099,-637.129028
270,RESIDENTIAL,RURAL,51.97,33.1,46.94,46.07,37.102199,-107.869003,-88.496498,-650.60498
271,FOREST,RURAL,55.77,46.46,51.97,50.04,40.277198,-105.544998,114.346,-500.838989
272,AGRICULTURAL,RURAL,55.58,39.54,50.07,48.29,40.5923,-105.140998,133.805999,-477.544006
273,RESIDENTIAL,SUBURBAN,47.79,26.95,40.46,39.13,40.577499,-105.079002,132.462997,-474.407012
274,FOREST,RURAL,58.2,43.57,53.17,51.59,39.1067,-108.740997,54.8525,-678.833007
275,FOREST,RURAL,54.47,46.86,51.52,50.09,37.198299,-108.489997,-77.387001,-683.52301
276,RESIDENTIAL,SUBURBAN,51.5,30.29,44.88,43.72,40.386398,-104.736999,117.593002,-457.868988
277,RESIDENTIAL,SUBURBAN,57.96,33.83,49.66,47.23,41.003601,-73.584999,280.792999,1154.280029
278,RESIDENTIAL,SUBURBAN,56.33,30.7,48.5,47.01,41.3992,-73.443099,309.059997,1154.75
279,RESIDENTIAL,SUBURBAN,58.08,35.11,50.03,46.78,41.1525,-73.103103,296.907989,1176.020019
280,FOREST,RURAL,55.56,28.64,46.98,45.12,41.118301,-73.3367,291.626007,1164.849975
281,RESIDENTIAL,SUBURBAN,53.68,30.46,46.8,45.24,41.784698,-72.631698,345.253997,1188.650024
282,FOREST,RURAL,48.79,37.64,44.57,41.28,41.821399,-73.297203,339.153015,1154.890014
283,AGRICULTURAL,SUBURBAN,57.19,36.6,50.61,48.71,41.5522,-72.629997,329.753997,1192.800048
284,COMMERCIAL,URBAN,53.86,29.4,44.74,42.42,41.301101,-72.902801,309.429992,1183.520019
285,UNKNOWN,UNKNOWN,57.31,34.97,49.77,47.48,41.260799,-72.550003,311.354003,1201.910034
286,RESIDENTIAL,SUBURBAN,53.86,36.48,47.13,44.38,41.317199,-72.065002,321.567993,1225.189941
287,COMMERCIAL,SUBURBAN,57.13,36.12,49.65,47.77,41.599998,-72.078903,340.229003,1219.439941
288,FOREST,RURAL,54.62,37.85,48.32,46.62,41.976398,-72.388099,361.231994,1197.380004
289,AGRICULTURAL,RURAL,54.16,33.28,48.71,47.77,38.984699,-75.555603,121.124,1085.550048
290,AGRICULTURAL,RURAL,46.11,26.83,40.64,39.19,39.551101,-75.730796,157.158004,1067.790039
291,AGRICULTURAL,RURAL,58.31,35.69,50.46,48.72,39.817199,-75.563903,177.020996,1072.359985
292,RESIDENTIAL,SUBURBAN,44.86,26.81,38.82,36.88,39.773899,-75.496398,174.901,1076.5
293,RESIDENTIAL,SUBURBAN,56.94,35.85,51.24,50.07,38.644401,-75.613098,97.552696,1087.75
294,AGRICULTURAL,RURAL,54.39,35.65,48.82,47.83,38.779201,-75.163101,112.028999,1109.23999
295,COMMERCIAL,URBAN,43.73,25.65,38.1,36.67,38.975299,-77.022796,103.640998,1008.950012
296,RESIDENTIAL,URBAN,48.25,28.53,42.05,39.96,38.897201,-76.952796,99.149002,1013.73999
297,COMMERCIAL,URBAN,46.06,26.95,40.14,38.35,38.918899,-77.012496,99.948699,1010.299987
298,FOREST,RURAL,48.36,28.2,42.41,41.6,29.546699,-82.296897,-589.250976,828.343017
299,FOREST,RURAL,47.5,27.39,42.11,41.39,30.1975,-82.444999,-546.254028,812.822021
300,COMMERCIAL,RURAL,48.62,36.09,44.2,42.29,30.131,-85.732002,-576.567993,617.200012
301,RESIDENTIAL,URBAN,44.77,30.7,40.62,39.32,28.053899,-80.628601,-674.53302,945.53302
302,RESIDENTIAL,SUBURBAN,45.68,34.91,41.76,39.73,28.3106,-80.6156,-656.973999,943.361022
303,RESIDENTIAL,SUBURBAN,39.21,23.43,33.39,32.32,26.271999,-80.294998,-791.908996,986.875
304,RESIDENTIAL,SUBURBAN,38.55,26.2,33.81,31.75,26.29,-80.097,-788.53302,998.976013
305,RESIDENTIAL,SUBURBAN,42.55,30.18,37.72,35.29,26.086999,-80.111,-802.448974,1000.530029
306,COMMERCIAL,SUBURBAN,44.73,29.26,40.23,39.34,26.27,-81.710998,-806.682006,898.682983
307,RESIDENTIAL,SUBURBAN,47.61,28.37,42.47,41.76,30.1781,-82.6194,-549.124023,802.632995
308,RESIDENTIAL,RURAL,47.53,28.23,42.39,41.21,30.4775,-81.587501,-519.325012,860.789978
309,RESIDENTIAL,SUBURBAN,48.04,30.16,43.3,41.89,30.260999,-81.454002,-532.783996,871.065002
310,INDUSTRIAL,SUBURBAN,49.98,33.07,44.74,43.5,30.524999,-87.2042,-558.804016,526.393981
311,MOBILE,SUBURBAN,50.08,36.13,45.25,43.65,30.368,-87.271003,-569.953979,523.440002
312,RESIDENTIAL,SUBURBAN,48.42,31.49,43.34,41.88,30.399,-87.276,-567.856994,522.937011
313,AGRICULTURAL,RURAL,45.39,30.51,41.33,40.52,27.188899,-81.340599,-740.536987,911.658996
314,UNKNOWN,UNKNOWN,49.32,30.38,43.01,41.76,27.7397,-82.465301,-713.841003,836.640991
315,RESIDENTIAL,SUBURBAN,47.29,26.36,40.5,39.47,27.9281,-82.454696,-700.918029,835.369995
316,COMMERCIAL,SUBURBAN,49.57,31.09,42.86,41.48,27.8922,-82.538597,-704.125,830.596984
317,RESIDENTIAL,RURAL,49.63,28.72,43.78,43.09,27.9657,-82.2304,-696.288024,848.710998
318,COMMERCIAL,RURAL,48.06,27.88,43.67,42.76,30.847499,-85.6044,-526.663024,619.221008
319,RESIDENTIAL,URBAN,48.2,30.27,42.97,42.2,28.524999,-81.723297,-653.435974,873.708984
320,RESIDENTIAL,SUBURBAN,45.34,32.21,41.06,39.99,26.547899,-81.980003,-790.403991,878.96997
321,RESIDENTIAL,SUBURBAN,45.04,31.89,40.66,39.37,26.4489,-81.939399,-796.744995,882.539001
322,COMMERCIAL,SUBURBAN,46.22,25.47,40.87,40.05,30.439699,-84.348297,-545.484008,697.236022
323,RESIDENTIAL,SUBURBAN,48.86,26.44,43.3,42.55,30.484399,-84.199203,-541.281005,705.715026
324,INDUSTRIAL,RURAL,46.06,27.87,39.71,38.39,27.632799,-82.546096,-721.864013,832.763
325,RESIDENTIAL,URBAN,46.31,30.43,40.94,39.64,27.4806,-82.618896,-732.895019,829.822998
326,RESIDENTIAL,SUBURBAN,44.6,26.99,39.07,38.15,27.449399,-82.522201,-734.132019,836.090026
327,COMMERCIAL,URBAN,45.79,27.15,40.56,39.85,29.170299,-82.100799,-613.080017,844.041992
328,COMMERCIAL,URBAN,45.34,24.92,39.59,38.95,29.192499,-82.173301,-612.236999,839.442016
329,RESIDENTIAL,SUBURBAN,44.48,33.5,40.07,37.53,25.732999,-80.162002,-827.010986,1001.559997
330,FOREST,RURAL,42.38,29.7,37.86,36.25,25.586,-80.327003,-838.78302,992.958984
331,RESIDENTIAL,SUBURBAN,47.55,26.94,41.5,40.69,28.4542,-81.381401,-654.937011,895.236999
332,COMMERCIAL,URBAN,47.79,28.97,42.2,41.35,28.599399,-81.363098,-644.880981,894.750976
333,COMMERCIAL,SUBURBAN,46.16,26.13,40.71,40.1,28.3472,-81.636703,-664.693969,880.888977
334,RESIDENTIAL,SUBURBAN,41.76,26.58,37.33,36.38,26.731,-80.234001,-760.11798,985.234008
335,RESIDENTIAL,URBAN,36.14,24.94,31.65,29.6,26.591199,-80.060897,-767.713989,997.617004
336,AGRICULTURAL,RURAL,49.95,29.05,44.27,43.71,28.331899,-82.305801,-672.047973,840.322998
337,RESIDENTIAL,SUBURBAN,45.61,30.27,41.03,39.61,28.194999,-82.758102,-685.476989,814.135986
338,COMMERCIAL,SUBURBAN,46.87,29.59,41.09,39.81,27.946399,-82.731903,-702.182983,818.211975
339,RESIDENTIAL,SUBURBAN,44.73,28.52,39.01,37.54,27.7856,-82.739997,-713.213012,819.322998
340,RESIDENTIAL,RURAL,45.55,27.43,39.93,38.68,28.09,-82.700798,-692.119018,818.679992
341,RESIDENTIAL,SUBURBAN,46.6,26.55,40.92,40.28,27.939399,-82.000297,-695.911987,863.059997
342,RESIDENTIAL,SUBURBAN,48.09,28.36,42.05,41.29,28.029199,-81.972198,-689.541015,863.828979
343,AGRICULTURAL,RURAL,41.29,23.51,36.57,35.61,27.4489,-80.408302,-713.284973,966.039001
344,RESIDENTIAL,SUBURBAN,50.57,36.98,45.8,44.1,30.3941,-87.008102,-566.632995,538.976989
345,RESIDENTIAL,SUBURBAN,46.72,32.64,41.72,40.03,27.3069,-82.570602,-744.278991,834.552978
346,RESIDENTIAL,SUBURBAN,46.81,27.56,41.14,40.2,27.350299,-82.480003,-740.497009,839.697998
347,RESIDENTIAL,SUBURBAN,46.23,29.19,41.13,40.2,27.089199,-82.362602,-757.187011,849.61499
348,RESIDENTIAL,SUBURBAN,47.88,29.21,42.65,41.8,28.745599,-81.309997,-634.427001,896.351989
349,RESIDENTIAL,SUBURBAN,44.67,28.96,40.34,38.92,29.1089,-80.993896,-606.603027,911.369995
350,COMMERCIAL,SUBURBAN,44.16,28.66,39.85,38.43,29.206699,-81.0531,-600.549011,906.710021
351,FOREST,RURAL,46.14,32.8,42.35,41.01,30.093099,-84.161903,-567.726013,711.418029
352,INDUSTRIAL,RURAL,56.96,31.24,50.93,50.02,32.805198,-83.543601,-377.660003,722.909973
353,RESIDENTIAL,SUBURBAN,56.62,34.22,51.26,50.1,32.8278,-83.788803,-378.044006,708.557006
354,COMMERCIAL,SUBURBAN,47.58,29.66,42.25,41.06,32.069,-81.049003,-405.970001,874.778015
355,AGRICULTURAL,RURAL,59.94,29.73,53.23,52.35,34.474201,-85.408096,-277.089996,601.909973
356,RESIDENTIAL,SUBURBAN,58.12,36.01,52.64,51.45,33.9179,-83.344497,-300.123992,723.78601
357,COMMERCIAL,SUBURBAN,60.72,33.07,53.67,51.73,34.0153,-84.607498,-302.986999,651.11499
358,RESIDENTIAL,SUBURBAN,57.76,31.78,51.72,50.71,33.582,-82.131301,-312.923004,796.164001
359,COMMERCIAL,SUBURBAN,56.95,31.71,50.64,49.24,33.4038,-84.746002,-345.795013,648.424987
360,UNKNOWN,RURAL,55.73,35.44,50.67,48.78,34.376201,-84.059402,-274.321014,679.015014
361,RESIDENTIAL,SUBURBAN,61.19,28.34,53.18,51.8,33.687999,-84.290298,-323.066009,672.031982
362,COMMERCIAL,SUBURBAN,60.5,38.66,54.04,51.99,33.743499,-84.779296,-322.798004,643.646972
363,COMMERCIAL,SUBURBAN,59.99,31.57,52.93,51.99,33.455898,-84.4188,-339.876007,666.721984
